"UsageDate","CostUSD","Cost","Currency"
"2025-04-08","23255.68","23255.68","USD"
"2025-04-10","0","0","USD"
"2025-04-11","0.0205605546388889","0.0205605546388889","USD"
"2025-04-12","0.123471557361111","0.123471557361111","USD"
"2025-04-13","0.123337344","0.123337344","USD"
"2025-04-14","0.123337344","0.123337344","USD"
"2025-04-15","0.123337344","0.123337344","USD"
"2025-04-16","0.123337344","0.123337344","USD"
"2025-04-17","0.123337344","0.123337344","USD"
"2025-04-18","0.123337344","0.123337344","USD"
"2025-04-19","0.123154954","0.123154954","USD"
"2025-04-20","0.123147024","0.123147024","USD"
"2025-04-21","0.123147024","0.123147024","USD"
"2025-04-22","0.123209814","0.123209814","USD"
"2025-04-23","0.12487488","0.12487488","USD"
"2025-04-24","0.12487488","0.12487488","USD"
"2025-04-25","0.12487488","0.12487488","USD"
"2025-04-26","0.12487488","0.12487488","USD"
"2025-04-27","0.12487488","0.12487488","USD"
"2025-04-28","0.12487488","0.12487488","USD"
"2025-04-29","0.12487488","0.12487488","USD"
"2025-04-30","0.119160848","0.119160848","USD"
