Project name,Project ID,Project number,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
DE Hub,mgm-gcp-hub-2395,80706764470,5362.27,0.00,0.00,5362.269311,5362.27,-3%
MCORE Prod,mgm-resorts-app,680758060118,4795.68,0.00,-7.98,4787.695052,4787.70,-11%
DE Host Prod,mgm-gcp-host-prod-99ba,554450694446,3486.56,0.00,-13.37,3473.187589,3473.19,-6%
MCORE Dev,mgm-resorts-dev,272887929731,3334.27,0.00,-7.08,3327.193650,3327.19,1%
[Charges not specific to a project],,,2596.03,0.00,-100.00,2496.026135,2496.03,0%
DE Apigee Prod,mgm-gcp-apigee-prod-904e,718648447782,1783.82,0.00,0.00,1783.817328,1783.82,-8%
enterpriseai-leo,enterpriseai-leo-s-8bc0,985015804108,1580.28,0.00,0.00,1580.279602,1580.28,0%
Security Services Production,security-services-production,99914182183,1114.82,0.00,0.00,1114.824376,1114.82,5%
DE Host Dev,mgm-gcp-host-dev-2ff2,104018523268,1087.59,0.00,-3.57,1084.019052,1084.02,-20%
781886137816,,781886137816,1004.89,0.00,0.00,1004.891199,1004.89,-1%
platform-poc-rafay,platform-poc-rafay-d094,911401398323,973.64,0.00,-88.45,885.195094,885.20,61%
Chat Services Prod,chat-services-prod,1044787944309,739.13,0.00,-18.80,720.327362,720.33,-2%
Chat Services Dev,chat-services-dev,142223184614,706.84,0.00,-18.65,688.194032,688.19,-3%
Enterprise SEO Tools,enterprise-seo-tools,895416359498,527.87,0.00,-17.58,510.292089,510.29,2335%
64644750904,,64644750904,467.30,0.00,-17.91,449.392571,449.39,0%
BFF Services Prod,bff-services-prod,600045219273,410.49,0.00,-6.18,404.310060,404.31,2%
BFF Services QA3,bff-services-qa3,225447046441,409.46,0.00,-5.94,403.513749,403.51,0%
BFF Services QA2,bff-services-qa2,164182675724,402.97,0.00,-6.22,396.755026,396.76,-2%
BFF Services QA4,bff-services-qa4,143291586451,399.83,0.00,-6.05,393.773645,393.77,-2%
BFF Services Dev,bff-services-dev,647180751119,399.64,0.00,-6.14,393.500143,393.50,-2%
BFF Services Preprod,bff-services-preprod,472432908944,399.50,0.00,-6.07,393.433092,393.43,-2%
DE Host Payments Prod,mgm-gcp-host-pay-prod-78b6,845227945069,374.66,0.00,-8.92,365.739122,365.74,-12%
23308336358,,23308336358,334.06,0.00,-10.22,323.842777,323.84,New
DE Apigee Dev,mgm-gcp-apigee-dev-38ed,238307586088,219.35,0.00,0.00,219.346262,219.35,-11%
17003317429,,17003317429,228.66,0.00,-15.18,213.483560,213.48,180%
198269570857,,198269570857,141.66,0.00,-5.81,135.845276,135.85,2%
915358655168,,915358655168,88.36,0.00,0.00,88.362684,88.36,22%
857297676884,,857297676884,89.14,0.00,-8.33,80.807196,80.81,0%
BFF AI Sandbox,bff-ai-sandbox,98976703604,75.01,0.00,0.00,75.008856,75.01,600%
DE Apigee Payments Prod,mgm-gcp-apigee-pay-prod-220c,205479714327,16.65,0.00,0.00,16.654672,16.65,-15%
Security Services Development,security-services-development,421577810376,3.14,0.00,0.00,3.141324,3.14,73%
DE Shared Services Development,de-shared-services-development,1002760527927,1.24,0.00,-0.00,1.235138,1.24,New
DE Shared Services Prod,de-shared-services-prod,213040699259,0.39,0.00,0.00,0.390311,0.39,11%
enterpriseai-ccai,enterpriseai-ccai-s-7458,180803351998,0.06,0.00,0.00,0.063094,0.06,-14%
Kiosk Core Dev,kiosk-core-dev,110845169822,0.02,0.00,0.00,0.020732,0.02,-50%
Kiosk Core Prod,kiosk-core-prod,122321971951,0.00,0.00,0.00,0.000028,0.00,0%
,,,,,Subtotal,33176.831189,33176.83
,,,,,Tax,0.000000,0.00
,,,,,Total,33176.831189,33176.83
